商品序号,商品ID,艺术家,作品名,artwork_lookup_key,original_reference,scene_1_reference,scene_1_qa_status,scene_1_qa_reason,scene_2_reference,scene_2_qa_status,scene_2_qa_reason,product_qa_status,qa_evidence_path,original_reference_local_path,scene_1_local_path,scene_2_local_path,failure_evidence_path
1,6a2ebfbfb814030015b18785,刘韵,瓶中紫韵,刘韵-瓶中紫韵,LOCAL_SOURCE:official_01.jpg|LOOKUP:刘韵-瓶中紫韵,OFFICIAL:official_02.jpg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,OFFICIAL:official_03.jpg,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,previews/qa_batches/P001_瓶中紫韵_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\001\official_01.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\001\official_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\001\official_03.jpg,
3,6a1951d25988900001c7d79e,刘韵,春野织梦,刘韵-春野织梦,LOCAL_SOURCE:003_row5_春野织梦.jpeg|LOOKUP:刘韵-春野织梦,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P003_春野织梦_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\003_row5_春野织梦.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\003_6a1951d25988900001c7d79e\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\003_6a1951d25988900001c7d79e\image_03.jpg,
4,6a1953ad9ca7220001242dcc,刘韵,风入蓝,刘韵-风入蓝,LOCAL_SOURCE:004_row6_风入蓝.jpeg|LOOKUP:刘韵-风入蓝,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,匹配框覆盖墙面而非真实作品四角；虽能看到作品，当前证据不能逐边完成透视校正,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,匹配框覆盖木墙/背景而非真实作品四角；虽能看到作品，当前证据不能逐边完成透视校正,QA_NEEDS_MANUAL,previews/qa_batches/P004_风入蓝_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\004_row6_风入蓝.jpeg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\004_6a1953ad9ca7220001242dcc\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\004_6a1953ad9ca7220001242dcc\image_03.jpg,previews/qa_failures/P004_风入蓝_QA.jpg
5,6a19551c9ca7220001246c91,刘韵,紫韵,刘韵-紫韵,LOCAL_SOURCE:005_row7_紫韵.png|LOOKUP:刘韵-紫韵,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P005_紫韵_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\005_row7_紫韵.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\005_6a19551c9ca7220001246c91\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\005_6a19551c9ca7220001246c91\image_03.jpg,
6,6a195987b6178b0001aa35dd,山也听风,归途,山也听风-归途,LOCAL_SOURCE:006_row8_归途.png|LOOKUP:山也听风-归途,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P006_归途_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\006_row8_归途.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\006_6a195987b6178b0001aa35dd\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\006_6a195987b6178b0001aa35dd\image_03.jpg,
7,6a195a38c409510001f0b75c,山也听风,云来山更佳,山也听风-云来山更佳,LOCAL_SOURCE:007_row9_云来山更佳.png|LOOKUP:山也听风-云来山更佳,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P007_云来山更佳_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\007_row9_云来山更佳.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\007_6a195a38c409510001f0b75c\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\007_6a195a38c409510001f0b75c\image_03.jpg,
8,6a2835f1b8140300157d60af,刘乐,湖畔度假的一天,刘乐-湖畔度假的一天,LOCAL_SOURCE:008_row10_湖畔度假的一天.png|LOOKUP:刘乐-湖畔度假的一天,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P008_湖畔度假的一天_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\008_row10_湖畔度假的一天.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\008_6a2835f1b8140300157d60af\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\008_6a2835f1b8140300157d60af\image_03.jpg,
9,6a2835f464c86a0015b76053,刘乐,洱海边的一天,刘乐-洱海边的一天,LOCAL_SOURCE:009_row11_洱海边的一天.png|LOOKUP:刘乐-洱海边的一天,EXISTING_PRODUCT:image_02.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,EXISTING_PRODUCT:image_03.jpg,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,previews/qa_batches/P009_洱海边的一天_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\009_row11_洱海边的一天.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\009_6a2835f464c86a0015b76053\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\009_6a2835f464c86a0015b76053\image_03.jpg,
10,6a2835f7c875390015e6ec2d,赵思栋,春天的歌,赵思栋-春天的歌,LOCAL_SOURCE:010_row12_春天的歌.png|LOOKUP:赵思栋-春天的歌,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,匹配框覆盖墙面和柜体而非真实作品四角；当前证据不足以逐边核验画芯,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,匹配框覆盖木墙/柜体而非真实作品四角；当前证据不足以逐边核验画芯,QA_NEEDS_MANUAL,previews/qa_batches/P010_春天的歌_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\010_row12_春天的歌.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\010_6a2835f7c875390015e6ec2d\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\010_6a2835f7c875390015e6ec2d\image_03.jpg,previews/qa_failures/P010_春天的歌_QA.jpg
11,6a2835fba0915b001550e0d5,赵思栋,静海,赵思栋-静海,LOCAL_SOURCE:011_row13_静海.png|LOOKUP:赵思栋-静海,EXISTING_PRODUCT:image_02.jpg,QA_NEEDS_MANUAL,匹配框覆盖墙面和柜体而非真实作品四角；当前证据不足以逐边核验画芯,EXISTING_PRODUCT:image_03.jpg,QA_NEEDS_MANUAL,匹配框覆盖木墙/柜体而非真实作品四角；当前证据不足以逐边核验画芯,QA_NEEDS_MANUAL,previews/qa_batches/P011_静海_QA.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\source_excel\011_row13_静海.png,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\011_6a2835fba0915b001550e0d5\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\011_6a2835fba0915b001550e0d5\image_03.jpg,previews/qa_failures/P011_静海_QA.jpg
