商品序号,商品ID,艺术家,作品名,product_qa_status,scene_1_qa_status,scene_1_qa_reason,scene_2_qa_status,scene_2_qa_reason,qa_evidence_path,failure_evidence_path
1,6a2ebfbfb814030015b18785,刘韵,瓶中紫韵,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P001_瓶中紫韵_QA.jpg,
3,6a1951d25988900001c7d79e,刘韵,春野织梦,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P003_春野织梦_QA.jpg,
4,6a1953ad9ca7220001242dcc,刘韵,风入蓝,QA_FAIL_FRAME,QA_FAIL_FRAME,原参考作品为无框/未固定该黑色细框状态，当前场景出现明显黑色细框，装裱与原作品不一致,QA_FAIL_FRAME,原参考作品为无框/未固定该黑色细框状态，当前场景出现明显黑色细框，装裱与原作品不一致,previews/qa_batches/P004_风入蓝_QA.jpg,previews/qa_failures/P004_风入蓝_QA.jpg
5,6a19551c9ca7220001246c91,刘韵,紫韵,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P005_紫韵_QA.jpg,
6,6a195987b6178b0001aa35dd,山也听风,归途,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P006_归途_QA.jpg,
7,6a195a38c409510001f0b75c,山也听风,云来山更佳,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P007_云来山更佳_QA.jpg,
8,6a2835f1b8140300157d60af,刘乐,湖畔度假的一天,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P008_湖畔度假的一天_QA.jpg,
9,6a2835f464c86a0015b76053,刘乐,洱海边的一天,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P009_洱海边的一天_QA.jpg,
10,6a2835f7c875390015e6ec2d,赵思栋,春天的歌,QA_FAIL_FRAME,QA_FAIL_FRAME,原图为木色外框及原有内衬关系，当前场景替换成明显不同的黑色细框，装裱被改变,QA_FAIL_FRAME,原图为木色外框及原有内衬关系，当前场景替换成明显不同的黑色细框，装裱被改变,previews/qa_batches/P010_春天的歌_QA.jpg,previews/qa_failures/P010_春天的歌_QA.jpg
11,6a2835fba0915b001550e0d5,赵思栋,静海,QA_FAIL_FRAME,QA_FAIL_FRAME,原作品装裱与当前场景装裱明显不一致，场景改变了原有画框关系,QA_FAIL_FRAME,原作品装裱与当前场景装裱明显不一致，场景改变了原有画框关系,previews/qa_batches/P011_静海_QA.jpg,previews/qa_failures/P011_静海_QA.jpg
12,6a2835fdc875390015e6ec3b,赵思栋,春径,QA_FAIL_FRAME,QA_FAIL_FRAME,原作品装裱被当前场景图替换/改变，未保留原有装裱关系,QA_FAIL_FRAME,原作品装裱被当前场景图替换/改变，未保留原有装裱关系,previews/qa_batches/P012_春径_QA.jpg,previews/qa_failures/P012_春径_QA.jpg
13,6a283601964c0f00150f0570,赵思栋,塔尔寺的盛夏,QA_FAIL_FRAME,QA_FAIL_FRAME,原木框及内衬关系与当前场景不一致，场景装裱被改变,QA_FAIL_FRAME,原木框及内衬关系与当前场景不一致，场景装裱被改变,previews/qa_batches/P013_塔尔寺的盛夏_QA.jpg,previews/qa_failures/P013_塔尔寺的盛夏_QA.jpg
20,6a284fb0cf37170016d5416b,Z.K,隐秘,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P020_隐秘_QA.jpg,
21,6a284fb364c86a0015b8b53b,Z.K,同桌,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P021_同桌_QA.jpg,
22,6a2828d9c875390015e6be11,平台id:茗茗就是我,水果系列2-《桃韵》,QA_FAIL_CROP,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景1只保留内部桃子圆形，原作外缘内容消失,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景2只保留内部桃子圆形，原作外缘内容消失,previews/qa_batches/P022_水果系列2-《桃韵》_QA.jpg,previews/qa_failures/P022_水果系列2-《桃韵》_QA.jpg
23,6a28361c82e31900157308ab,平台id:茗茗就是我,水果系列2-《蓝实》,QA_FAIL_CROP,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景1只保留内部蓝实圆形，原作外缘内容消失,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景2只保留内部蓝实圆形，原作外缘内容消失,previews/qa_batches/P023_水果系列2-《蓝实》_QA.jpg,previews/qa_failures/P023_水果系列2-《蓝实》_QA.jpg
24,6a2836274ffccd001564b67a,平台id:茗茗就是我,水果系列2-《柠黄》,QA_FAIL_CROP,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景1只保留内部柠黄圆形，原作外缘内容消失,QA_FAIL_CROP,原图可见圆形作品外圈的蓝白条纹边缘，场景2只保留内部柠黄圆形，原作外缘内容消失,previews/qa_batches/P024_水果系列2-《柠黄》_QA.jpg,previews/qa_failures/P024_水果系列2-《柠黄》_QA.jpg
25,6a28363074af4700150af39c,平台id:茗茗就是我,水果系列2-《青梨》,QA_FAIL_CROP,QA_FAIL_CROP,自动提取结果仅保留内部主体区域/近似圆形区域；原作品完整外轮廓或边缘信息未被完整保留；因此不能判定为完整一致,QA_FAIL_CROP,自动提取结果仅保留内部主体区域/近似圆形区域；原作品完整外轮廓或边缘信息未被完整保留；因此不能判定为完整一致,previews/qa_batches/P025_水果系列2-《青梨》_QA.jpg,previews/qa_failures/P025_水果系列2-《青梨》_QA.jpg
26,6a28363dc875390015e6ecb5,平台id:茗茗就是我,水果系列2-《圆果.红》,QA_FAIL_CROP,QA_FAIL_CROP,原图外围仍存在完整作品外缘/背衬/条纹结构，当前场景只保留内部红色果实主体区域，原作品外围内容被裁掉,QA_FAIL_CROP,原图外围仍存在完整作品外缘/背衬/条纹结构，当前场景只保留内部红色果实主体区域，原作品外围内容被裁掉,previews/qa_batches/P026_水果系列2-《圆果.红》_QA.jpg,previews/qa_failures/P026_水果系列2-《圆果.红》_QA.jpg
28,6a2ff63716b37a0015251752,杨铭奕,渡,QA_PASS,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,QA_PASS,原图与场景作品区域匹配并已生成透视校正裁片；逐项检查未见明确缺边、内容替换、装裱冲突或明显比例失真,previews/qa_batches/P028_渡_QA.jpg,
29,6a012d2f22eb6500014d9b04,黄方,花间集,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P029_花间集_QA.jpg,
30,6a00c1aa22eb650001472157,Keith Hall,Solar Roots,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P030_Solar Roots_QA.jpg,
31,6a00c24a64eb4100012236b3,Keith Hall,The Opening That Stayed,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P031_The Opening That Stayed_QA.jpg,
32,6a0adde14d102c000100f395,Keith Hall,Held Light,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P032_Held Light_QA.jpg,
33,69a9a89df209ba0001775a92,Keith Hall,When Shanghai Turns Green,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P033_When Shanghai Turns Green_QA.jpg,
34,6a00c3ac0283e200017528b4,Keith Hall,Patina,QA_PASS,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,QA_PASS,原图与场景作品区域已生成透视校正裁片；逐项检查边缘、主体、主要色块、装裱和透视，未见明确不一致,previews/qa_batches/P034_Patina_QA.jpg,
