商品序号,商品ID,商品名称,艺术家,作品名,真实尺寸,原有装裱/画框信息,官网场景图数量,官网场景图是否可用,原商品已有可用场景图数量,最终使用场景图1来源,最终使用场景图2来源,新生成场景图数量,scene_1 本地路径,scene_2 本地路径,当前状态,失败原因,备注
1,6a2ebfbfb814030015b18785,瓶中紫韵,刘韵,瓶中紫韵,画芯40×50 cm；成品/外框48×58 cm,已装裱；布面丙烯，保留原外框比例,2,是,1,OFFICIAL,OFFICIAL,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\001\official_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\official_candidates\batches_001_002\001\official_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
2,6a2ebfbdb8ecfa0015e851da,粉陶花事,刘韵,粉陶花事,画芯40×50 cm；成品/外框48×58 cm,应为已装裱布面丙烯，外框48×58 cm,0,否,1,EXISTING_PRODUCT,GENERATED,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\002_6a2ebfbdb8ecfa0015e851da\image_02.jpg,,PENDING_GENERATION,,规划补 1 张；本轮实际未生成
3,6a1951d25988900001c7d79e,春野织梦,刘韵,春野织梦,"42*42
（无框尺寸40*50）",UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\003_6a1951d25988900001c7d79e\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\003_6a1951d25988900001c7d79e\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
4,6a1953ad9ca7220001242dcc,风入蓝,刘韵,风入蓝,40*50（无框）,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P004/scene_1.png,outputs/regen_18/P004/scene_2.png,READY_FOR_FINAL_FRAME_QA,上一轮候选未满足统一有框规则；本轮已重做，等待 ChatGPT 最终验收,本轮修正：加框；本轮不代表最终 QA_PASS
5,6a19551c9ca7220001246c91,紫韵,刘韵,紫韵,40*50（无框）,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\005_6a19551c9ca7220001246c91\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\005_6a19551c9ca7220001246c91\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
6,6a195987b6178b0001aa35dd,归途,山也听风,归途,60*70,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\006_6a195987b6178b0001aa35dd\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\006_6a195987b6178b0001aa35dd\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
7,6a195a38c409510001f0b75c,云来山更佳,山也听风,云来山更佳,60*70,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\007_6a195a38c409510001f0b75c\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\007_6a195a38c409510001f0b75c\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
8,6a2835f1b8140300157d60af,湖畔度假的一天,刘乐,湖畔度假的一天,40*40,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\008_6a2835f1b8140300157d60af\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\008_6a2835f1b8140300157d60af\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
9,6a2835f464c86a0015b76053,洱海边的一天,刘乐,洱海边的一天,100*100,UNKNOWN,0,否,2,EXISTING_PRODUCT,EXISTING_PRODUCT,0,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\009_6a2835f464c86a0015b76053\image_02.jpg,C:\Users\Administrator\Documents\Codex\2026-06-23\shoppingpush\outputs\xiaohongshu_scene_rebuild_20260821\live_current\images\009_6a2835f464c86a0015b76053\image_03.jpg,READY_FOR_QA,,按官网优先、当前商品图其次，直接复用已有合格场景
10,6a2835f7c875390015e6ec2d,春天的歌,赵思栋,春天的歌,40*30,UNKNOWN,0,否,2,GENERATED,GENERATED,2,outputs/regen_18/P010/scene_1.png,outputs/regen_18/P010/scene_2.png,READY_FOR_REGEN_QA,上一轮 Visual QA 未通过；本轮已按原作品重做/补图，等待 ChatGPT 验收,本轮快速重做；场景1=GENERATED，场景2=GENERATED；不代表最终 QA_PASS
